Temperatur (C)	Luftfugtighed (%)	Afstand (mm)	
23.60	75.00	6.93
23.60	75.00	6.95
23.60	75.00	7.06
23.60	75.00	7.04
23.60	75.00	6.97
23.60	76.00	6.92
23.60	76.00	6.02
23.60	76.00	7.06
23.70	76.00	7.06
23.60	76.00	7.01
23.60	76.00	6.95
23.60	76.00	6.93
23.60	76.00	6.99
23.60	76.00	7.50
23.70	76.00	7.48
23.60	76.00	6.99
23.60	76.00	6.92
23.60	76.00	6.93
23.60	76.00	6.06
23.60	76.00	7.02
23.60	76.00	7.01
23.60	76.00	6.95
23.60	76.00	6.92
23.60	76.00	6.99
23.60	76.00	7.06
23.70	76.00	7.01
23.60	76.00	6.93
23.60	76.00	6.97
23.60	76.00	7.04
23.60	76.00	7.04
23.60	76.00	6.92
23.70	76.00	6.95
23.60	76.00	7.06
23.60	76.00	7.02
23.70	76.00	6.97
23.70	76.00	6.92
23.70	76.00	6.01
23.60	76.00	6.99
23.70	76.00	7.06
23.60	76.00	6.95
23.60	76.00	6.97
23.60	76.00	7.33
23.60	76.00	7.04
23.60	76.00	6.97
23.70	77.00	6.90
23.70	77.00	6.93
23.70	77.00	7.04
23.70	77.00	7.01
23.60	76.00	6.95
23.70	76.00	6.97
23.70	76.00	7.06
23.60	76.00	7.06
23.60	76.00	6.99
23.60	76.00	6.95
23.70	76.00	6.97
23.60	76.00	7.06
23.70	76.00	7.01
23.60	76.00	6.95
23.60	76.00	6.95
23.70	76.00	6.99
23.70	76.00	7.10
23.70	76.00	7.02
23.60	77.00	7.44
23.70	76.00	6.90
23.70	77.00	6.57
23.60	77.00	6.99
23.70	76.00	7.06
23.60	77.00	7.04
23.70	77.00	6.97
23.60	77.00	6.95
23.70	77.00	7.01
23.60	77.00	7.06
23.70	77.00	7.04
23.60	77.00	7.06
23.70	77.00	7.22
23.70	77.00	7.46
23.70	78.00	7.04
23.70	78.00	7.01
23.70	78.00	6.90
23.70	78.00	6.01
23.70	78.00	7.02
23.70	78.00	7.06
23.60	78.00	7.01
23.70	78.00	6.69
23.70	78.00	6.88
23.70	78.00	7.06
23.60	79.00	7.01
23.70	78.00	7.02
23.70	79.00	6.88
23.70	78.00	6.95
23.60	78.00	6.92
23.70	79.00	7.06
23.70	79.00	7.04
23.70	79.00	6.93
23.70	79.00	5.98
23.60	79.00	6.97
23.70	79.00	7.01
23.60	79.00	6.95
23.70	79.00	7.01
23.70	79.00	6.95
23.70	79.00	7.10
23.70	79.00	6.97
23.60	79.00	6.99
23.70	79.00	7.04
23.70	79.00	7.02
23.70	79.00	6.86
23.70	79.00	6.88
23.70	79.00	5.98
23.70	79.00	6.95
23.70	79.00	6.93
23.60	79.00	6.93
23.70	79.00	6.93
23.70	79.00	6.93
23.60	79.00	6.97
23.70	79.00	6.93
23.60	79.00	6.95
23.70	79.00	6.90
23.70	79.00	7.01
23.70	79.00	7.02
23.70	79.00	7.14
23.70	79.00	6.93
23.60	79.00	6.90
